binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 52|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 58|, Acc: 86.96400451660156%s (VN: 27832.0 VP: 33842.0 FN: 411.0 FP: 8834.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 76|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 107|, Acc: 97.28140258789062%s (VN: 35161.0 VP: 33830.0 FN: 423.0 FP: 1505.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 66|, Acc: 55.67760467529297%s (VN: 32120.0 VP: 7366.0 FN: 26887.0 FP: 4546.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 74|, Acc: 86.96259307861328%s (VN: 27831.0 VP: 33842.0 FN: 411.0 FP: 8835.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 91|, Acc: 97.27153778076172%s (VN: 35154.0 VP: 33830.0 FN: 423.0 FP: 1512.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 92|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 125|, Acc: 93.83663177490234%s (VN: 32718.0 VP: 33830.0 FN: 423.0 FP: 3948.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 85|, Acc: 63.88274002075195%s (VN: 20156.0 VP: 25149.0 FN: 9104.0 FP: 16510.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 92|, Acc: 86.82722473144531%s (VN: 27735.0 VP: 33842.0 FN: 411.0 FP: 8931.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 112|, Acc: 93.83663177490234%s (VN: 32718.0 VP: 33830.0 FN: 423.0 FP: 3948.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 99|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 121|, Acc: 97.31383514404297%s (VN: 35184.0 VP: 33830.0 FN: 423.0 FP: 1482.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 82|, Acc: 81.57052612304688%s (VN: 24017.0 VP: 33832.0 FN: 421.0 FP: 12649.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 98|, Acc: 97.33216857910156%s (VN: 35197.0 VP: 33830.0 FN: 423.0 FP: 1469.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 108|, Acc: 97.31383514404297%s (VN: 35184.0 VP: 33830.0 FN: 423.0 FP: 1482.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 90|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 137|, Acc: 97.16577911376953%s (VN: 35071.0 VP: 33838.0 FN: 415.0 FP: 1595.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 88|, Acc: 80.82319641113281%s (VN: 23470.0 VP: 33849.0 FN: 404.0 FP: 13196.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 95|, Acc: 97.04310607910156%s (VN: 34984.0 VP: 33838.0 FN: 415.0 FP: 1682.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 121|, Acc: 97.16577911376953%s (VN: 35071.0 VP: 33838.0 FN: 415.0 FP: 1595.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 90|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 118|, Acc: 94.51909637451172%s (VN: 34098.0 VP: 32934.0 FN: 1319.0 FP: 2568.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 87|, Acc: 79.7247543334961%s (VN: 23595.0 VP: 32945.0 FN: 1308.0 FP: 13071.0)
